image_id,split,area,perimeter,circularity,eccentricity,convexity,rectangularity,elongation,solidity,aspect_ratio
000202,train,1575.0,250.81118202209473,0.31462746585033186,0.9866393897756485,0.8784160624651423,0.7232232771207867,4.739130434782608,0.8784160624651423,0.21100917431192662
000202,train,300.0,109.4558435678482,0.3146684594699439,0.9907532283544987,1.0,0.6926806211546682,5.1,1.0,0.19607843137254902
000202,train,432.0,127.21320307254791,0.33545111157160784,0.9904732103146145,0.9740698985343855,0.7527280809097062,5.363636363636363,0.9740698985343855,0.1864406779661017
000202,train,1234.0,184.7695518732071,0.4542178661546625,0.9726049868556518,0.9123844731977819,0.7275175368174147,3.0,0.9123844731977819,0.3333333333333333
000207,train,157.0,51.455843567848206,0.745143833187184,0.9117135345279498,1.0,0.8981692937934864,1.5384615384615385,1.0,0.65
000201,train,1757.0,254.2253955602646,0.34162037260017447,0.982899796212692,0.8871497096692754,0.7417251727673331,4.36,0.8871497096692754,0.22935779816513763
000201,train,252.0,80.97056245803833,0.48300996703201304,0.9751095119355684,1.0,0.8,3.6,1.0,0.2777777777777778
000201,train,460.0,126.87005722522736,0.3591281300473768,0.9888405577484604,1.0,0.8007433720397152,5.363636363636363,1.0,0.1864406779661017
000201,train,1353.0,185.35533833503723,0.49487722079613,0.9680524262435832,0.9435146443514645,0.8083945937714357,3.125,0.9435146443514645,0.32
000208,train,144.0,56.14213538169861,0.5741091939892549,0.9629727324154251,1.0,0.8571428571428571,3.125,1.0,0.32
000208,train,1596.0,230.42640626430511,0.3777271986613017,0.9805913689944618,0.9725776965265083,0.7823529411764706,4.904761904761905,0.9725776965265083,0.20388349514563106
000212,train,1153.0,225.88224983215332,0.28397163491521493,0.9804992594320522,0.8649662415603901,0.6764332990818752,3.75,0.8649662415603901,0.26666666666666666
000205,train,3559.0,412.8944425582886,0.26233713855262464,0.9857969992344857,0.8524550898203593,0.5965699744985807,4.894736842105263,0.8524550898203593,0.20430107526881722
000205,train,673.0,201.35533845424652,0.20859247228847536,0.9961997268693685,0.8132930513595166,0.6453919499310736,6.714285714285714,0.8132930513595166,0.14893617021276595
000203,train,3297.0,398.2670258283615,0.2612041720894544,0.9864476957615076,0.8708399366085579,0.6375508322641885,5.2,0.8708399366085579,0.19230769230769232
